time_sec,e_x,e_y,e_z,error_norm,error_integral
0.000000,-0.020836843,0.010393854,-1.528210331,1.528387720,0.000000000
0.008000,-0.020837903,0.010374991,-1.528370436,1.528547693,0.012227742
0.016000,-0.020829460,0.010301744,-1.528546331,1.528722957,0.024456824
0.024000,-0.020829460,0.010301744,-1.528546331,1.528722957,0.036686608
0.032000,-0.020813799,0.010299675,-1.528738489,1.528914866,0.048917159
0.040000,-0.020807881,0.010293574,-1.528765583,1.528941835,0.061148586
0.048000,-0.020800970,0.010284550,-1.528800556,1.528976649,0.073380260
0.056000,-0.020771401,0.010283793,-1.528852001,1.529027681,0.085612277
0.064000,-0.020771401,0.010283793,-1.528852001,1.529027681,0.097844499
0.072000,-0.020736604,0.010297255,-1.527433002,1.527608463,0.110071043
0.080000,-0.020736604,0.010297255,-1.527433002,1.527608463,0.122291911
0.088000,-0.020708552,0.010330743,-1.525704205,1.525879710,0.134505864
0.096000,-0.020675112,0.010372050,-1.523449078,1.523624670,0.146703881
0.104000,-0.020629435,0.010428203,-1.520424198,1.520599903,0.158880779
0.112000,-0.020577583,0.010487016,-1.517071143,1.517246937,0.171032167
0.120000,-0.020506688,0.010564103,-1.512750583,1.512926452,0.183152860
0.128000,-0.020414862,0.010654542,-1.507517308,1.507693179,0.195235339
0.136000,-0.020323097,0.010732883,-1.502459886,1.502635662,0.207276654
0.144000,-0.020185838,0.010853530,-1.495166843,1.495342488,0.219268567
0.152000,-0.020096616,0.010916351,-1.490265148,1.490440623,0.231211699
0.160000,-0.019962498,0.011045065,-1.483320886,1.483496325,0.243107447
0.168000,-0.019826196,0.011164164,-1.476458542,1.476633855,0.254947968
0.176000,-0.019498338,0.011414257,-1.461044565,1.461219248,0.266699380
0.184000,-0.019288836,0.011549809,-1.451939967,1.452114019,0.278352713
0.192000,-0.019080974,0.011663744,-1.443423118,1.443596351,0.289935555
0.200000,-0.019080974,0.011663744,-1.443423118,1.443596351,0.301484326
0.208000,-0.018573672,0.011887822,-1.424084879,1.424255611,0.312955733
0.216000,-0.018573672,0.011887822,-1.424084879,1.424255611,0.324349778
0.224000,-0.018126281,0.012057893,-1.408181489,1.408349765,0.335680200
0.232000,-0.018126281,0.012057893,-1.408181489,1.408349765,0.346946998
0.240000,-0.017591690,0.012235862,-1.390087992,1.390253146,0.358141410
0.248000,-0.017013445,0.012407406,-1.371167153,1.371328831,0.369187738
0.256000,-0.017013445,0.012407406,-1.371167153,1.371328831,0.380158368
0.264000,-0.016343354,0.012591216,-1.350084677,1.350242304,0.391044653
0.272000,-0.015912654,0.012689803,-1.337124616,1.337279508,0.401794740
0.280000,-0.015415147,0.012799823,-1.322519839,1.322671609,0.412434544
0.288000,-0.014379581,0.012993057,-1.293312788,1.293457985,0.422899063
0.296000,-0.014379581,0.012993057,-1.293312788,1.293457985,0.433246727
0.304000,-0.013823223,0.013075266,-1.278355747,1.278497345,0.443534548
0.312000,-0.013223795,0.013147429,-1.262698278,1.262835961,0.453699881
0.320000,-0.012629409,0.013202358,-1.247532666,1.247666444,0.463741891
0.328000,-0.011599373,0.013294319,-1.221656620,1.221784016,0.473619693
0.336000,-0.010827892,0.013338271,-1.202638358,1.202761062,0.483317873
0.344000,-0.010227731,0.013358582,-1.188007087,1.188126212,0.492881422
0.352000,-0.009534382,0.013381774,-1.171224475,1.171339723,0.502319286
0.360000,-0.009534382,0.013381774,-1.171224475,1.171339723,0.511690004
0.368000,-0.008474302,0.013424147,-1.145830959,1.145940927,0.520959126
0.376000,-0.007374469,0.013453768,-1.119936526,1.120041610,0.530023056
