time_sec,e_x,e_y,e_z,error_norm,error_integral
0.000000,-0.005303209,0.010922852,-1.540558431,1.540606281,0.000000000
0.008000,-0.005362395,0.010703820,-1.540542535,1.540589053,0.012324781
0.016000,-0.005419043,0.010493829,-1.540531002,1.540576274,0.024649443
0.024000,-0.005471842,0.010296218,-1.540487364,1.540531490,0.036973874
0.032000,-0.005524336,0.010074876,-1.540466398,1.540509249,0.049298037
0.040000,-0.005569730,0.009843420,-1.540452842,1.540494360,0.061622051
0.048000,-0.005569730,0.009843420,-1.540452842,1.540494360,0.073946006
0.056000,-0.005546779,0.009725165,-1.540379588,1.540420274,0.086269664
0.064000,-0.005522835,0.009631353,-1.539291225,1.539331264,0.098588671
0.072000,-0.005464692,0.009622791,-1.535898920,1.535938786,0.110889751
0.080000,-0.005464692,0.009622791,-1.535898920,1.535938786,0.123177261
0.088000,-0.005483229,0.009515558,-1.532727499,1.532766843,0.135452084
0.096000,-0.005402243,0.009573121,-1.525891112,1.525930705,0.147686874
0.104000,-0.005292637,0.009670184,-1.516950851,1.516990906,0.159858560
0.112000,-0.005292637,0.009670184,-1.516950851,1.516990906,0.171994488
0.120000,-0.005127815,0.009825939,-1.505248295,1.505289100,0.184083608
0.128000,-0.005127815,0.009825939,-1.505248295,1.505289100,0.196125920
0.136000,-0.004908838,0.010027515,-1.490905777,1.490947579,0.208110867
0.144000,-0.004643022,0.010256852,-1.474543454,1.474586437,0.219973003
0.152000,-0.004643022,0.010256852,-1.474543454,1.474586437,0.231769695
0.160000,-0.004077988,0.010643876,-1.442349598,1.442394635,0.243437619
0.168000,-0.004077988,0.010643876,-1.442349598,1.442394635,0.254976776
0.176000,-0.003565468,0.011007316,-1.418952256,1.418999429,0.266422352
0.184000,-0.003185921,0.011198373,-1.401684783,1.401733136,0.277705283
0.192000,-0.002770065,0.011388871,-1.384015568,1.384065198,0.288848476
0.200000,-0.002343370,0.011559801,-1.366739750,1.366790644,0.299851899
0.208000,-0.001881603,0.011733484,-1.349003762,1.349056101,0.310715286
0.216000,-0.001402736,0.011897887,-1.331417248,1.331471147,0.321437395
0.224000,-0.001402736,0.011897887,-1.331417248,1.331471147,0.332089164
0.232000,0.000026315,0.012447216,-1.284464985,1.284525294,0.342553150
0.240000,0.000026315,0.012447216,-1.284464985,1.284525294,0.352829352
0.248000,0.001165356,0.012773792,-1.248989701,1.249055564,0.362963676
0.256000,0.001165356,0.012773792,-1.248989701,1.249055564,0.372956120
0.264000,0.002101079,0.013105971,-1.223029137,1.223101161,0.382844747
0.272000,0.002101079,0.013105971,-1.223029137,1.223101161,0.392629557
0.280000,0.003127385,0.013462229,-1.196242958,1.196322794,0.402307252
0.288000,0.003721218,0.013597676,-1.180965513,1.181049655,0.411816742
0.296000,0.003350412,0.013157721,-1.168028831,1.168107744,0.421213372
0.304000,0.002633766,0.012296026,-1.144369006,1.144438094,0.430463555
0.312000,0.002633766,0.012296026,-1.144369006,1.144438094,0.439619060
0.320000,0.001927963,0.011442370,-1.123703539,1.123763449,0.448691866
0.328000,0.001927963,0.011442370,-1.123703539,1.123763449,0.457681974
0.336000,0.001321121,0.010630958,-1.104352504,1.104404462,0.466594645
0.344000,0.001321121,0.010630958,-1.104352504,1.104404462,0.475429881
0.352000,0.001332583,0.010329430,-1.089915127,1.089964888,0.484207358
0.360000,0.001143792,0.009956141,-1.080115855,1.080162346,0.492887867
0.368000,0.000820874,0.009541628,-1.073495895,1.073538612,0.501502671
0.376000,0.000630975,0.009160294,-1.065655589,1.065695146,0.510059606
0.384000,0.000447712,0.008767797,-1.059072226,1.059108614,0.518558821
0.392000,0.000497092,0.008407119,-1.050927013,1.050960757,0.526999099
0.400000,0.000652920,0.008048598,-1.043063283,1.043094540,0.535375320
0.408000,0.000989901,0.007704801,-1.034503043,1.034532208,0.543685827
0.416000,0.001459682,0.007369210,-1.025673270,1.025700782,0.551926759
0.424000,0.002209681,0.007058702,-1.015147388,1.015174333,0.560090259
0.432000,0.002940986,0.006740742,-1.005266398,1.005293300,0.568172130
0.440000,0.002940986,0.006740742,-1.005266398,1.005293300,0.576214476
0.448000,0.004934944,0.006513290,-0.985736430,0.985770301,0.584178731
