time_sec,e_x,e_y,e_z,error_norm,error_integral
0.000000,0.000206223,0.000150383,1.771435291,1.771435309,0.000000000
0.008000,0.000264449,0.000159464,1.771710604,1.771710631,0.014172584
0.016000,0.000063816,-0.000003215,1.772865638,1.772865639,0.028350889
0.024000,0.000063816,-0.000003215,1.772865638,1.772865639,0.042533814
0.032000,-0.000024769,-0.000037963,1.773361994,1.773361995,0.056718724
0.040000,-0.000115033,-0.000077971,1.773856292,1.773856297,0.070907598
0.048000,-0.000278693,-0.000126752,1.774823962,1.774823988,0.085102319
0.056000,-0.000278693,-0.000126752,1.774823962,1.774823988,0.099300911
0.064000,-0.000360100,-0.000155773,1.775282147,1.775282191,0.113501335
0.072000,-0.000440366,-0.000183537,1.775701164,1.775701228,0.127705269
0.080000,-0.000479968,-0.000105855,1.775644410,1.775644478,0.141910652
0.088000,-0.000479968,-0.000105855,1.775644271,1.775644339,0.156115807
0.096000,-0.000522215,-0.000038189,1.775600834,1.775600911,0.170320788
0.104000,-0.000560480,0.000044815,1.775596506,1.775596595,0.184525578
0.112000,-0.000560480,0.000044815,1.775596186,1.775596275,0.198730350
0.120000,-0.000592634,0.000148248,1.775484895,1.775485000,0.212934675
0.128000,-0.000619925,0.000246895,1.775361164,1.775361289,0.227138060
0.136000,-0.000619925,0.000246895,1.775360308,1.775360434,0.241340947
0.144000,-0.000642765,0.000336172,1.775189049,1.775189197,0.255543145
0.152000,-0.000660661,0.000441190,1.774991580,1.774991758,0.269743869
0.160000,-0.000660661,0.000441190,1.774990113,1.774990290,0.283943797
0.168000,-0.000675608,0.000550062,1.774776480,1.774776693,0.298142865
0.176000,-0.000680380,0.000682686,1.774456850,1.774457111,0.312339801
0.184000,-0.000687613,0.000808398,1.774313113,1.774313430,0.326534883
0.192000,-0.000687613,0.000808398,1.774310190,1.774310508,0.340729378
0.200000,-0.000685986,0.000948130,1.774075682,1.774076068,0.354922925
0.208000,-0.000685986,0.000948130,1.774071331,1.774071717,0.369115516
0.216000,-0.000683095,0.001081492,1.773837859,1.773838321,0.383307156
0.224000,-0.000677790,0.001208397,1.773594299,1.773594840,0.397496889
0.232000,-0.000677790,0.001208397,1.773588063,1.773588604,0.411685622
0.240000,-0.000668745,0.001431529,1.773195016,1.773195720,0.425872760
0.248000,-0.000668745,0.001431529,1.773186359,1.773187063,0.440058291
0.256000,-0.000686474,0.001489266,1.773293647,1.773294405,0.454244217
0.264000,-0.000717570,0.001598221,1.773453468,1.773454334,0.468431212
0.272000,-0.000717570,0.001598221,1.773441766,1.773442631,0.482618800
0.280000,-0.000732508,0.001654083,1.773483622,1.773484544,0.496806508
0.288000,-0.000714937,0.001803891,1.773269945,1.773271007,0.510993530
0.296000,-0.000714937,0.001803891,1.773269945,1.773271007,0.525179699
0.304000,-0.000682387,0.001980533,1.772901475,1.772902713,0.539364393
0.312000,-0.000686791,0.002058474,1.772939533,1.772940861,0.553547768
0.320000,-0.000694425,0.002119972,1.773023226,1.773024629,0.567731630
0.328000,-0.000690735,0.002215333,1.772945158,1.772946676,0.581915515
0.336000,-0.000697080,0.002280683,1.772997297,1.772998901,0.596099297
0.344000,-0.000695715,0.002356007,1.773118735,1.773120437,0.610283775
0.352000,-0.000657648,0.002529127,1.772775926,1.772777852,0.624467368
0.360000,-0.000657648,0.002529127,1.772740310,1.772742236,0.638649448
0.368000,-0.000623501,0.002698456,1.772375884,1.772378048,0.652829929
0.376000,-0.000586692,0.002873239,1.772008645,1.772011072,0.667007486
0.384000,-0.000586692,0.002873239,1.771964857,1.771967283,0.681183399
0.392000,-0.000547812,0.003055330,1.771499342,1.771502061,0.695357276
0.400000,-0.000501940,0.003258944,1.770929345,1.770932415,0.709527014
0.408000,-0.000501940,0.003258944,1.770870895,1.770873965,0.723694240
0.416000,-0.000486592,0.003244484,1.771322996,1.771326034,0.737863040
0.424000,-0.000474473,0.003231398,1.771668583,1.771671593,0.752035030
0.432000,-0.000474473,0.003231398,1.771598601,1.771601611,0.766208123
0.440000,-0.000460334,0.003219220,1.771892236,1.771895220,0.780382111
0.448000,-0.000440407,0.003220460,1.772106483,1.772109464,0.794558129
0.456000,-0.000416325,0.003232140,1.772237712,1.772240708,0.808735530
0.464000,-0.000416325,0.003232140,1.772237712,1.772240708,0.822913456
0.472000,-0.000387991,0.003251992,1.772295036,1.772298062,0.837091611
0.480000,-0.000358453,0.003280188,1.772276900,1.772279972,0.851269923
0.488000,-0.000358453,0.003280188,1.772162692,1.772165764,0.865447706
0.496000,-0.000329021,0.003309877,1.772323222,1.772326343,0.879625674
0.504000,-0.000329021,0.003309877,1.772200095,1.772203216,0.893803792
0.512000,-0.000292769,0.003346230,1.772154399,1.772157582,0.907981236
0.520000,-0.000253463,0.003391131,1.772027139,1.772030402,0.922157988
0.528000,-0.000253463,0.003391131,1.771874329,1.771877592,0.936333620
0.536000,-0.000217905,0.003408384,1.771925395,1.771928687,0.950508845
0.544000,-0.000178151,0.003446600,1.771766290,1.771769651,0.964683638
0.552000,-0.000178151,0.003446600,1.771591118,1.771594480,0.978857095
0.560000,-0.000135124,0.003500044,1.771426557,1.771430020,0.993029193
0.568000,-0.000072386,0.003601629,1.771015658,1.771019322,1.007198990
0.576000,-0.000063898,0.003564761,1.771200510,1.771204098,1.021367884
0.584000,-0.000051193,0.003550426,1.771479638,1.771483197,1.035538633
0.592000,-0.000031142,0.003552702,1.771448568,1.771452131,1.049710374
0.600000,-0.000009442,0.003556811,1.771528670,1.771532241,1.063882312
0.608000,0.000007449,0.003547220,1.771637613,1.771641164,1.078055005
0.616000,0.000036106,0.003573671,1.771820494,1.771824099,1.092228866
0.624000,0.000046158,0.003554076,1.771914827,1.771918392,1.106403836
0.632000,0.000046158,0.003554076,1.771627299,1.771630865,1.120578033
0.640000,0.000096792,0.003644153,1.771170391,1.771174143,1.134749253
0.648000,0.000146290,0.003738684,1.770798279,1.770802232,1.148917159
0.656000,0.000146290,0.003738684,1.770458239,1.770462193,1.163082216
0.664000,0.000198720,0.003836271,1.770031596,1.770035764,1.177244208
0.672000,0.000260307,0.003969327,1.769784266,1.769788737,1.191403506
0.680000,0.000260307,0.003969327,1.769405800,1.769410272,1.205560302
0.688000,0.000319606,0.004093979,1.768793437,1.768798204,1.219713136
0.696000,0.000386471,0.004240831,1.768035354,1.768040482,1.233860491
0.704000,0.000421152,0.004291254,1.768100859,1.768106117,1.248005077
